"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","10","490-1437-1-ND","GRM1885C1H271JA01D","CAP CER 270PF 50V C0G/NP0 0603","","0","0.16600 Discount","1.66"
"2","10","490-1403-1-ND","GRM1885C1H100JA01D","CAP CER 10PF 50V C0G/NP0 0603","","0","0.11800 Discount","1.18"
"3","15","399-7886-1-ND","C0603C225K4PACTU","CAP CER 2.2UF 16V X5R 0603","","0","0.14000 Discount","2.10"
"4","20","399-1283-1-ND","C0603C104M3RACTU","CAP CER 0.1UF 25V X7R 0603","","0","0.08100 Discount","1.62"
"5","10","PCE3909CT-ND","EEE-1EA471P","CAP ALUM 470UF 20% 25V SMD","","0","0.62500 Discount","6.25"
"6","10","490-7208-1-ND","GRM219R6YA475KA73D","CAP CER 4.7UF 35V X5R 0805","","0","0.28800 Discount","2.88"
"7","5","490-1349-1-ND","GRM1885C2A820JA01D","CAP CER 82PF 100V C0G/NP0 0603","","0","0.17000 Discount","0.85"
"8","2","399-10452-1-ND","T495C686M016ATE250","CAP TANT 68UF 20% 16V 2312","","0","1.34000 Discount","2.68"
"9","5","399-9043-1-ND","C0603C223J3RACTU","CAP CER 0.022UF 25V X7R 0603","","0","0.15000 Discount","0.75"
"10","10","490-1459-1-ND","GRM1885C1H222JA01D","CAP CER 2200PF 50V C0G/NP0 0603","","0","0.13400 Discount","1.34"
"11","2","1276-2876-1-ND","CL31A106KBHNNNE","CAP CER 10UF 50V X5R 1206","","0","0.81000 Discount","1.62"
"12","3","490-10749-1-ND","GRM21BR61E226ME44L","CAP CER 22UF 25V X5R 0805","","0","0.74000 Discount","2.22"
"13","5","MBR140SFT1GOSCT-ND","MBR140SFT1G","DIODE SCHOTTKY 40V 1A SOD123L","","0","0.54000 Discount","2.70"
"14","3","H125272CT-ND","ZX62D-B-5P8(30)","CONN RCPT USB2.0 MICRO B SMD R/A","","0","1.36000 Discount","4.08"
"15","2","S7016-ND","PPTC181LFBN-RC","CONN HDR 18POS 0.1 TIN PCB","","0","1.49000 Discount","2.98"
"16","2","S6103-ND","PPTC051LFBN-RC","CONN HDR 5POS 0.1 TIN PCB","","0","0.65000 Discount","1.30"
"17","2","WM10656-ND","0436500227","CONN HEADER VERT 2POS 3MM","","0","1.09000 Discount","2.18"
"18","2","WM7500-ND","0436500327","CONN HEADER VERT 3POS 3MM","","0","1.36000 Discount","2.72"
"19","2","609-3491-ND","67996-114HLF","CONN HEADER VERT 14POS 2.54MM","","0","1.04000 Discount","2.08"
"20","2","587-2103-1-ND","NR6028T220M","FIXED IND 22UH 1.4A 175.5 MOHM","","0","0.53000 Discount","1.06"
"21","2","102-5033-1-ND","V78E05-1000-SMT-TR","DC-DC NON-ISOLATED, 1 A, 8 36 VD","","0","6.84000 Discount","13.68"
"22","15","NTMFS4935NT1GOSCT-ND","NTMFS4935NT1G","MOSFET N-CH 30V 13A SO8FL","","0","1.04400 Discount","15.66"
"23","10","311-22.0HRCT-ND","RC0603FR-0722RL","RES SMD 22 OHM 1% 1/10W 0603","","0","0.03400","0.34"
"24","10","311-120HRCT-ND","RC0603FR-07120RL","RES SMD 120 OHM 1% 1/10W 0603","","0","0.03400","0.34"
"25","10","311-1.00KHRCT-ND","RC0603FR-071KL","RES SMD 1K OHM 1% 1/10W 0603","","0","0.03400","0.34"
"26","10","311-47.0KHRCT-ND","RC0603FR-0747KL","RES SMD 47K OHM 1% 1/10W 0603","","0","0.03400","0.34"
"27","10","311-3.30KHRCT-ND","RC0603FR-073K3L","RES SMD 3.3K OHM 1% 1/10W 0603","","0","0.03400","0.34"
"28","5","490-4801-1-ND","NCP15XH103F03RC","THERMISTOR NTC 10KOHM 3380K 0402","","0","0.19000 Discount","0.95"
"29","10","311-220KHRCT-ND","RC0603FR-07220KL","RES SMD 220K OHM 1% 1/10W 0603","","0","0.03400","0.34"
"30","10","541-10.0KHCT-ND","CRCW060310K0FKEA","RES SMD 10K OHM 1% 1/10W 0603","","0","0.05500","0.55"
"31","10","541-18.0KHCT-ND","CRCW060318K0FKEA","RES SMD 18K OHM 1% 1/10W 0603","","0","0.05500","0.55"
"32","10","311-2.2HRCT-ND","RC0603FR-072R2L","RES SMD 2.2 OHM 1% 1/10W 0603","","0","0.06700 Discount","0.67"
"33","3","696-1673-1-ND","CSR2512C0R015F","RES 0.015 OHM 1% 3W 2512","","0","0.93000 Discount","2.79"
"34","2","1.0W-5-ND","SQP500JB-1R0","RES 1 OHM 5W 5% AXIAL","","0","0.88000 Discount","1.76"
"35","1","296-12282-5-ND","SN65HVD232D","IC TRANSCEIVER HALF 1/1 8SOIC","","0","3.39000 Discount","3.39"
"36","1","497-11767-ND","STM32F405RGT6","IC MCU 32BIT 1MB FLASH 64LQFP","","0","16.79000 Discount","16.79"
"37","2","AZ1117EH-3.3TRG1DICT-ND","AZ1117EH-3.3TRG1","IC REG LINEAR 3.3V 1A SOT223","","0","0.61000 Discount","1.22"
"38","1","296-29433-1-ND","DRV8301DCAR","IC MOTOR DRIVER 6V-60V 56HTSSOP","","0","8.44000 Discount","8.44"
"39","1","LM5109BSD/NOPBCT-ND","LM5109BSD/NOPB","IC GATE DRVR HALF-BRIDGE 8WSON","","0","1.25000 Discount","1.25"
"40","2","296-38557-1-ND","LP5907MFX-3.3/NOPB","IC REG LINEAR 3.3V 250MA SOT23-5","","0","0.79000 Discount","1.58"